no,base_domain,csirt_url,telepon,email,apresiasi,rfc_2350
1,1university.ac.id,http://csirt.1university.ac.id,,,,
2,akbidbudimuliajambi.ac.id,https://csirt.akbidbudimuliajambi.ac.id,"+6232671615, +62992945352, +62150307525",,,
3,akbidbundaauni.ac.id,https://csirt.akbidbundaauni.ac.id,,,,
4,akbidkerishusada.ac.id,http://csirt.akbidkerishusada.ac.id,,,,
5,akbidmadinahusada.ac.id,http://csirt.akbidmadinahusada.ac.id,,,,
6,akbidsitifatimah.ac.id,http://csirt.akbidsitifatimah.ac.id,,,,
7,akbpstie.ac.id,http://csirt.akbpstie.ac.id,,,,
8,aklmumakassar.ac.id,http://csirt.aklmumakassar.ac.id,,,,
9,akmet.ac.id,http://csirt.akmet.ac.id,"+62006740000, +6257788041, +6200674000",info@akmet.ac.id,,
10,akparmataram.ac.id,http://csirt.akparmataram.ac.id,,,,
11,akper-luwuk.ac.id,https://csirt.akper-luwuk.ac.id,,,,
12,akperkapuas.ac.id,http://csirt.akperkapuas.ac.id,"+623856887884, +62385688788490, +629849039",,,
13,akperkerishusada.ac.id,http://csirt.akperkerishusada.ac.id,,,,
14,akperykyjogja.ac.id,http://csirt.akperykyjogja.ac.id,,,,
15,akperypib.ac.id,http://csirt.akperypib.ac.id,,,,
16,akptahuna.ac.id,http://csirt.akptahuna.ac.id,,,,
17,akrel.ac.id,http://csirt.akrel.ac.id,,,,
18,alhikamdepok.ac.id,http://csirt.alhikamdepok.ac.id,,,,
19,amiaipi.ac.id,http://csirt.amiaipi.ac.id,,,,
20,amikom.ac.id,https://csirt.amikom.ac.id,,,,
21,amki.ac.id,http://csirt.amki.ac.id,,,,
22,asrojournal-sttal.ac.id,https://csirt.asrojournal-sttal.ac.id,,,,
23,audiologi.ac.id,http://csirt.audiologi.ac.id,,,,
24,beta.ac.id,http://csirt.beta.ac.id,,,,
25,binus.ac.id,https://csirt.binus.ac.id,"+6200000002, +628696969",infobinus@binus.edu,,
26,cahayabangsauniversity.ac.id,https://csirt.cahayabangsauniversity.ac.id,,,,
27,cemerlang-paud-pancasakti.ac.id,http://csirt.cemerlang-paud-pancasakti.ac.id,,,,
28,darunnajah.ac.id,https://csirt.darunnajah.ac.id,"+623921568, +625287458, +628627450980",,,
29,dewantara.ac.id,http://csirt.dewantara.ac.id,,,,
30,fekon-unima.ac.id,http://csirt.fekon-unima.ac.id,,,,
31,fisip-untirta.ac.id,http://csirt.fisip-untirta.ac.id,,,,
32,iain-samarinda.ac.id,https://csirt.iain-samarinda.ac.id,"+62074048404, +6207404840475, +620010000",,,
33,iainambon.ac.id,https://csirt.iainambon.ac.id,,,,
34,iainbukittinggi.ac.id,https://csirt.iainbukittinggi.ac.id,"+62898001084668, +628980010, +6289800108",,,
35,iaincirebon.ac.id,https://csirt.iaincirebon.ac.id,+620010000,,,
36,iainpalu.ac.id,http://csirt.iainpalu.ac.id,,,,
37,iainpurwokerto.ac.id,https://csirt.iainpurwokerto.ac.id,"+62569041240, +62123456789, +625690412406",,,
38,iainsurakarta.ac.id,https://csirt.iainsurakarta.ac.id,+620010000,,,
39,iaitfdumai.ac.id,http://csirt.iaitfdumai.ac.id,,,,
40,ibei.ac.id,http://csirt.ibei.ac.id,,,,
41,igi.ac.id,http://csirt.igi.ac.id,,,,
42,iiq-annur.ac.id,http://csirt.iiq-annur.ac.id,,,,
43,ikipgunungsitoli.ac.id,https://csirt.ikipgunungsitoli.ac.id,+622150106260,,,
44,istts.ac.id,https://csirt.istts.ac.id,,,,
45,itb.ac.id,https://csirt.itb.ac.id,"+620023422, +620050655, +620031128",,,
46,itbaas.ac.id,http://csirt.itbaas.ac.id,+624575102,,,
47,itbtuban.ac.id,http://csirt.itbtuban.ac.id,,,,
48,itg.ac.id,https://csirt.itg.ac.id,"+6235674193, +62397674397, +623670428",,,
