base_domain,csirt_url,telepon,email,apresiasi,rfc_2350
2022.co.id,https://csirt.2022.co.id/,,aduankonten@mail.kominfo.go.id,,
1space.co.id,https://csirt.1space.co.id/,,aduankonten@mail.kominfo.go.id,,
abuba.co.id,https://csirt.abuba.co.id/,,aduankonten@mail.kominfo.go.id,,
afreenanimha.co.id,http://csirt.afreenanimha.co.id/,,,,
agarillus.co.id,https://csirt.agarillus.co.id/,,aduankonten@mail.kominfo.go.id,,
agb99.co.id,https://csirt.agb99.co.id/,,aduankonten@mail.kominfo.go.id,,
agenbola.co.id,https://csirt.agenbola.co.id/,,aduankonten@mail.kominfo.go.id,,
agentogel.co.id,https://csirt.agentogel.co.id/,,aduankonten@mail.kominfo.go.id,,
aka.co.id,http://csirt.aka.co.id/,,,,
analitik.co.id,http://csirt.analitik.co.id/,,,,
anandahospital.co.id,https://csirt.anandahospital.co.id/,,,,
angkasapura2.co.id,https://csirt.angkasapura2.co.id/,,,,
amitours.co.id,https://csirt.amitours.co.id/,,,,
apotik-rini.co.id,https://csirt.apotik-rini.co.id/,,aduankonten@mail.kominfo.go.id,,
arneva.co.id,https://csirt.arneva.co.id/,,,,
artslaundry.co.id,http://csirt.artslaundry.co.id/,,,,
astraagro.co.id,https://csirt.astraagro.co.id/,,aduankonten@mail.kominfo.go.id,,
asiatour.co.id,https://csirt.asiatour.co.id/,,,,
asiacon.co.id,https://asiacon.co.id/,+622128672340,,,
alphamedia.co.id,https://csirt.alphamedia.co.id/login_up.php,"+62791060416, +62782607590913",50365a6fe24f4ff28f6b625410e04a35@sentry.io,,
abacus-ind.co.id,https://csirt.abacus-ind.co.id/,,,,
adventuretravel.co.id,https://csirt.adventuretravel.co.id/,,,,
banksulselbar.co.id,https://csirt.banksulselbar.co.id/,"+6258781963, +62003411890655",,,
bbmerahputih.co.id,https://csirt.bbmerahputih.co.id/,,aduankonten@mail.kominfo.go.id,,
belajartrading.co.id,https://csirt.belajartrading.co.id/,,aduankonten@mail.kominfo.go.id,,
belanjaatk.co.id,https://csirt.belanjaatk.co.id/,,aduankonten@mail.kominfo.go.id,,
berdikari-persero.co.id,https://csirt.berdikari-persero.co.id/,,aduankonten@mail.kominfo.go.id,,
banklampung.co.id,https://csirt.banklampung.co.id/,,csirt@banklampung.co.id,,https://assets.banklampung.co.id/tapis/assets/PublicKey121.asc
bgrindonesia.co.id,https://csirt.bgrindonesia.co.id/,,aduankonten@mail.kominfo.go.id,,
bintangsejahtera.co.id,http://csirt.bintangsejahtera.co.id/,,,,
bimasaktisanjaya.co.id,https://csirt.bimasaktisanjaya.co.id/,,aduankonten@mail.kominfo.go.id,,
bkpcp.co.id,http://csirt.bkpcp.co.id/,,,,
bhaktitamara.co.id,https://csirt.bhaktitamara.co.id/cgi-sys/suspendedpage.cgi,,,,
barley-bread.co.id,https://csirt.barley-bread.co.id/login_up.php,"+62791060416, +62782607590913",50365a6fe24f4ff28f6b625410e04a35@sentry.io,,
blackmagnus.co.id,https://csirt.blackmagnus.co.id/,,aduankonten@mail.kominfo.go.id,,
bjs.co.id,https://csirt.bjs.co.id/,,aduankonten@mail.kominfo.go.id,,
booksbeyond.co.id,http://csirt.booksbeyond.co.id/,,,,
branded.co.id,http://csirt.branded.co.id/,,,,
bmtbima.co.id,https://csirt.bmtbima.co.id/,,,,
bringinlife.co.id,https://csirt.bringinlife.co.id/,,aduankonten@mail.kominfo.go.id,,
berkatsafety.co.id,https://csirt.berkatsafety.co.id/en,,,,
batbank.co.id,https://csirt.batbank.co.id/,,,,
bnisyariah.co.id,https://www.acehground.com/akuisisi-bni-syariah/,,,,
bsrgroup.co.id,https://csirt.bsrgroup.co.id/,"+6232254433319, +62217948803",,,
beranda.co.id,https://csirt.beranda.co.id/,+6222494942,,,
bikasolusi.co.id,https://csirt.bikasolusi.co.id/,,,,
batavia-air.co.id,https://linkw88asia.com/,,,,
comforta.co.id,https://csirt.comforta.co.id/,"+6242844382, +62582428102",,,
corsys.co.id,http://csirt.corsys.co.id/,,,,
daikin.co.id,https://csirt.daikin.co.id/,,,,
com.co.id,http://ww25.csirt.com.co.id/?subid1=20250608-0922-5989-8acd-a61b1a936a09,,,,
dealpos.co.id,https://csirt.dealpos.co.id/,,,,
didi.co.id,https://csirt.didi.co.id/,,aduankonten@mail.kominfo.go.id,,
dien.co.id,https://csirt.dien.co.id/,,aduankonten@mail.kominfo.go.id,,
dayaauto.co.id,https://www.acc.co.id/acctrade,"+6267456357408, +629520047",kontakacc@ai.astra.co.id,,
dmarket.co.id,https://csirt.dmarket.co.id/,,aduankonten@mail.kominfo.go.id,,
dagodreampark.co.id,https://csirt.dagodreampark.co.id/,,,,
dhp.co.id,https://www.dhp.co.id,+626162000824,support@dhp.co.id,,
content.co.id,https://csirt.content.co.id/,+62006127048099,,,
e-smart.co.id,https://csirt.e-smart.co.id/,,,,
dropshiper.co.id,http://csirt.dropshiper.co.id/,,,,
dikti.co.id,https://csirt.dikti.co.id/,,,,
digikey.co.id,https://www.digikey.com/,+6203444539,sales@digikey.com,,
fki.co.id,https://csirt.fki.co.id/,,,,
garudamedia.co.id,http://csirt.garudamedia.co.id/,,,,
gabrez.co.id,https://csirt.gabrez.co.id/,,aduankonten@mail.kominfo.go.id,,
evolution.co.id,https://csirt.evolution.co.id/,,,,
germancentre.co.id,https://csirt.germancentre.co.id/,,aduankonten@mail.kominfo.go.id,,
ghabs.co.id,https://csirt.ghabs.co.id/,,aduankonten@mail.kominfo.go.id,,
globalinvestigasinews.co.id,https://csirt.globalinvestigasinews.co.id/,,aduankonten@mail.kominfo.go.id,,
goldenkarawangcity.co.id,http://csirt.goldenkarawangcity.co.id/,,,,
goon.co.id,https://csirt.goon.co.id/,,aduankonten@mail.kominfo.go.id,,
growpal.co.id,https://csirt.growpal.co.id/,,aduankonten@mail.kominfo.go.id,,
grya.co.id,https://csirt.grya.co.id/,,aduankonten@mail.kominfo.go.id,,
hanatekindo.co.id,https://csirt.hanatekindo.co.id/,,,,
gusviradigital.co.id,https://csirt.gusviradigital.co.id/,,,,
garbamedhospital.co.id,https://csirt.garbamedhospital.co.id/,,,,
gjm.co.id,https://csirt.gjm.co.id/,,,,
gerainiaga.co.id,https://csirt.gerainiaga.co.id/,,,,
happan.co.id,https://csirt.happan.co.id/,,,,
gebraknews.co.id,https://balisehat.org/,,,,
groupon.co.id,https://www.groupon.com/,,,,
gradescleaningservice.co.id,https://csirt.gradescleaningservice.co.id/,,,,
grazia.co.id,https://csirt.grazia.co.id/,,,,
hukama.co.id,http://csirt.hukama.co.id/,,,,
hybrid.co.id,https://csirt.hybrid.co.id/,,,,
icema.co.id,https://csirt.icema.co.id/,,aduankonten@mail.kominfo.go.id,,
ice-u.co.id,https://csirt.ice-u.co.id/,,,,
icore.co.id,https://csirt.icore.co.id/,,aduankonten@mail.kominfo.go.id,,
idr.co.id,https://csirt.idr.co.id/,,,,
