base_domain,csirt_url,telepon,email,apresiasi,rfc_2350
alorkab.go.id,http://csirt.alorkab.go.id/,,,,
ambon.go.id,https://csirt.ambon.go.id/,,,,
atrbpn.go.id,https://csirt.atrbpn.go.id/,"+625171668380, +6281119310000, +628111931000",csirt@atrbpn.go.id,,https://csirt.atrbpn.go.id/storage/public-key/BPN-CSIRT_0x84AC53F3_public.asc
bandungkab.go.id,https://csirt.bandungkab.go.id/,,diskominfo@bandungkab.go.id,,
bandungbaratkab.go.id,https://csirt.bandungbaratkab.go.id/,"+62716979999, +627169799999, +622178833610987",bantuan70@bssn.go.id,,https://csirt.bandungbaratkab.go.id/storage/public-key/BandungBaratKab-CSIRT_0x220C85A6_public.asc
bangkalankab.go.id,https://csirt.bangkalankab.go.id/,"+624717899295, +6247178992955, +62313094179",csirt@bangkalankab.go.id,,https://csirt.bangkalankab.go.id/storage/public-key/BangkalanKab-CSIRT_0x749ED5F9_public.asc
badanpangan.go.id,https://csirt.badanpangan.go.id/,"+6231326054, +62313260542, +623132605423",csirt@badanpangan.go.id,,https://csirt.badanpangan.go.id/storage/public-key/BadanPangan_CSIRT_public.asc
balangankab.go.id,https://csirt.balangankab.go.id/,+625262028434,csirt@balangankab.go.id,,https://csirt.balangankab.go.id/storage/public-key/balangan csirt@balangankab.go.id-(0x6F04C7E332818409)-public.asc
bangkatengahkab.go.id,http://csirt.bangkatengahkab.go.id/,+627187362032,csirt@bangkatengahkab.go.id,,http://csirt.bangkatengahkab.go.id/storage/public-key/KunciPublik_0xF0286EC8_public.asc
banggaikab.go.id,https://csirt.banggaikab.go.id/,"+6249061145, +622178833610987, +6227203478",bantuan70@bssn.go.id,,https://csirt.banggaikab.go.id/storage/public-key/Persandian Kominfo Banggai_csirt@diskominfo.banggaikab.go.id-0xF3497C6051726654-pub.asc
bandung.go.id,https://csirt.bandung.go.id/,,csirt@bandung.go.id,,https://csirt.bandung.go.id/assets/Publik-Key-Bantuan70-pub.asc
banjarkab.go.id,https://csirt.banjarkab.go.id/,+625114723108,kominfo@banjarkab.go.id,,https://csirt.banjarkab.go.id/storage/public-key/csirt banjarkab_0x3BC60888_public.asc
acehprov.go.id,https://csirt.acehprov.go.id/,+6265122221,diskominfo@acehprov.go.id,,https://csirt.acehprov.go.id/storage/public-key/Aceh_CSIRT_public.asc
babelprov.go.id,https://csirt.babelprov.go.id/,+627174262141,,,https://csirt.babelprov.go.id/assets/Kunci-Publik-BabelProvCsirt.asc
banjarmasinkota.go.id,https://csirt.banjarmasinkota.go.id/,+6285161338112,csirt@banjarmasinkota.go.id,,https://csirt.banjarmasinkota.go.id/storage/public-key/Banjarmasin-CSIRT_0x018F11E8_public.asc
badungkab.go.id,https://csirt.badungkab.go.id/,"+62686192192, +6221102101",,,
banyuasinkab.go.id,https://csirt.banyuasinkab.go.id/,+62711123456,,,
banglikab.go.id,https://csirt.banglikab.go.id/,+6236693804,info@freehtml5.co,,
bakamla.go.id,https://csirt.bakamla.go.id/,"+622182125189898, +623314495487, +622182125189",,,https://csirt.bakamla.go.id/storage/public-key/kuncipublik-bakamla-csirt_0xBC9D5395_public.asc
baritoselatankab.go.id,https://csirt.baritoselatankab.go.id/,"+624167259137, +6282221301616, +628222130161",diskominfo@baritoselatankab.go.id,,https://csirt.baritoselatankab.go.id/storage/uploads/CSIRT Admin_barselkabcsirt@baritoselatankab.go.id-0x7FD7A19C5E68709B-pub.asc
banggailautkab.go.id,https://csirt.banggailautkab.go.id/,"+626212345678, +6288360605412, +626908836060",,,
bandarlampungkota.go.id,https://csirt.bandarlampungkota.go.id/,,csirt@bandarlampungkota.go.id,,
bantenprov.go.id,https://csirt.bantenprov.go.id/,"+6282117772226, +622547824104",,,
baubaukota.go.id,https://csirt.baubaukota.go.id/,+62000000000,csirt@baubaukota.go.id,,https://csirt.baubaukota.go.id/storage/public-key/PubkeyBaubauKota-CSIRT2024.asc
baritotimurkab.go.id,https://csirt.baritotimurkab.go.id/,,,,
banjarnegarakab.go.id,https://csirt.banjarnegarakab.go.id/,+62286591043,csirt@banjarnegarakab.go.id,,https://csirt.banjarnegarakab.go.id/storage/public-key/Banjarnegarakab CSIRT csirt@banjarnegarakab.go.id-(0x8588BB0A406A820E)-public.asc
baritokualakab.go.id,https://csirt.baritokualakab.go.id/,"+625116701255, +62178823128, +6266196993",batolacsirtcsirt@baritokualakab.go.id,,https://csirt.baritokualakab.go.id/storage/public-key/BATOLACSIRTcsirt@baritokualakab.go.id-(0x4376C4FE5A87E661)-public.asc
baliprov.go.id,https://csirt.baliprov.go.id/,"+62361227810, +62361225859",,,
bawaslu.go.id,https://csirt.bawaslu.go.id/,+622112345678,csirt@bawaslu.go.id,,
bekasikota.go.id,https://csirt.bekasikota.go.id/,+622188959980,csirt@bekasikota.go.id,,https://csirt.bekasikota.go.id/storage/public-key/BekasiKota-CSIRT_0x41D838C7_public.asc
batam.go.id,https://csirt.batam.go.id/web/,,,,
bekasikab.go.id,https://csirt.bekasikab.go.id/,,csirt@bekasikab.go.id,,
batukota.go.id,https://csirt.batukota.go.id/,,,,
batangkab.go.id,https://csirt.batangkab.go.id/,+62285392219,csirt@batangkab.go.id,,https://csirt.batangkab.go.id/assets/Publik-Key-Batangkab-pub.asc
bantulkab.go.id,https://csirt.bantulkab.go.id/,+62274367509,logo-font-dark@2x.png,,
bangka.go.id,https://csirt.bangka.go.id/,,,,
bin.go.id,https://csirt.bin.go.id/,"+880123456789, +6212345678, +62123456789",csirt@bin.go.id,,https://csirt.bin.go.id/assets/asc/publickey.asc
beltim.go.id,https://csirt.beltim.go.id/,"+6227460413, +627199220007, +6235032992",csirt@beltim.go.id,,https://csirt.beltim.go.id/storage/public-key/BELTIMKAB-CSIRT_0x21B285A6_public.asc
belitung.go.id,https://csirt.belitung.go.id/,"+6288545781, +6271924942",csirt@belitung.go.id,,https://csirt.belitung.go.id/storage/public-key/belitungkab-csirt-pgp.asc
bengkulukota.go.id,https://csirt.bengkulukota.go.id/,"+6273621003, +62487357563, +6248735756",bengkulu_csirt@bengkulukota.go.id-0x7603078bbed9a88e-pub.asc,,https://csirt.bengkulukota.go.id/storage/public-key/Kota Bengkulu_csirt@bengkulukota.go.id-0x7603078BBED9A88E-pub.asc
bintankab.go.id,https://csirt.bintankab.go.id/,"+628925165792115, +62213858171, +628925165792",csirt@bintankab.go.id,,https://csirt.bintankab.go.id/storage/public-key/pgp-key-bintan.asc
blitarkota.go.id,https://csirt.blitarkota.go.id/,+62342807805,csirt@blitarkota.go.id,,https://csirt.blitarkota.go.id/storage/public-key/publickey.asc
bimakota.go.id,https://csirt.bimakota.go.id/,"+62657734686, +628534567890, +6265773468",csirt@bimakota.go.id,,https://csirt.bimakota.go.id/storage/public-key/publickey-bimakota.asc
bnn.go.id,https://csirt.bnn.go.id/,"+622180871567, +622180871566",puslitdatin@bnn.go.id,,https://csirt.bnn.go.id/storage/public-key/publickeypuslitdatin.asc
banyuwangikab.go.id,https://csirt.banyuwangikab.go.id/,"+6282230993446, +6282230993, +62333422400",,,https://csirt.banyuwangikab.go.id/public/csirt-banyuwangi-public-key.asc
bogorkab.go.id,https://csirt.bogorkab.go.id/,+62218758605,csirt@bogorkab.go.id,,https://csirt.bogorkab.go.id/storage/public-key/BogorKab-CSIRT_csirt@bogorkab.go.id-0x7CF8DE482A752025-pub.asc
baznas.go.id,https://csirt.baznas.go.id/,"+6206599882, +6255203304, +622122897983",,,https://csirt.baznas.go.id/storage/public-key/BAZNAS-CSIRT_0x91AC69A2_public.asc
bkpm.go.id,https://csirt.bkpm.go.id/,+622152921301,csirt@bkpm.go.id,,
